Date,Movie,Chain,Screenings,Screen_Share(%)
2019년 01월 06일(Sun),주먹왕 랄프 2: 인터넷 속으로,씨네Q,58,22.1%
2019년 01월 06일(Sun),아쿠아맨,CGV,1582,21.3%
2019년 01월 06일(Sun),아쿠아맨,롯데시네마,1115,20.0%
2019년 01월 06일(Sun),아쿠아맨,메가박스,953,20.6%
2019년 01월 06일(Sun),아쿠아맨,씨네Q,57,21.8%
2019년 01월 06일(Sun),PMC: 더 벙커,CGV,816,11.0%
2019년 01월 06일(Sun),PMC: 더 벙커,롯데시네마,518,9.3%
2019년 01월 06일(Sun),PMC: 더 벙커,메가박스,538,11.6%
2019년 01월 06일(Sun),PMC: 더 벙커,씨네Q,39,14.9%
2019년 01월 06일(Sun),보헤미안 랩소디,CGV,699,9.4%
2019년 01월 06일(Sun),보헤미안 랩소디,롯데시네마,615,11.0%
2019년 01월 06일(Sun),보헤미안 랩소디,메가박스,414,9.0%
2019년 01월 06일(Sun),보헤미안 랩소디,씨네Q,20,7.6%
2019년 01월 06일(Sun),범블비,CGV,553,7.5%
2019년 01월 06일(Sun),범블비,롯데시네마,479,8.6%
2019년 01월 06일(Sun),범블비,메가박스,428,9.3%
2019년 01월 06일(Sun),범블비,씨네Q,27,10.3%
2019년 01월 07일(Mon),주먹왕 랄프 2: 인터넷 속으로,CGV,1725,24.7%
2019년 01월 07일(Mon),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,1383,26.9%
2019년 01월 07일(Mon),주먹왕 랄프 2: 인터넷 속으로,메가박스,1039,24.1%
2019년 01월 07일(Mon),주먹왕 랄프 2: 인터넷 속으로,씨네Q,55,23.0%
2019년 01월 07일(Mon),아쿠아맨,CGV,1546,22.2%
2019년 01월 07일(Mon),아쿠아맨,롯데시네마,1066,20.7%
2019년 01월 07일(Mon),아쿠아맨,메가박스,913,21.2%
2019년 01월 07일(Mon),아쿠아맨,씨네Q,51,21.3%
2019년 01월 07일(Mon),PMC: 더 벙커,CGV,806,11.6%
2019년 01월 07일(Mon),PMC: 더 벙커,롯데시네마,508,9.9%
2019년 01월 07일(Mon),PMC: 더 벙커,메가박스,524,12.2%
2019년 01월 07일(Mon),PMC: 더 벙커,씨네Q,38,15.9%
2019년 01월 07일(Mon),보헤미안 랩소디,CGV,711,10.2%
2019년 01월 07일(Mon),보헤미안 랩소디,롯데시네마,607,11.8%
2019년 01월 07일(Mon),보헤미안 랩소디,메가박스,432,10.0%
2019년 01월 07일(Mon),보헤미안 랩소디,씨네Q,19,7.9%
2019년 01월 07일(Mon),범블비,CGV,565,8.1%
2019년 01월 07일(Mon),범블비,롯데시네마,512,9.9%
2019년 01월 07일(Mon),범블비,메가박스,430,10.0%
2019년 01월 07일(Mon),범블비,씨네Q,21,8.8%
2019년 01월 08일(Tue),주먹왕 랄프 2: 인터넷 속으로,CGV,1723,24.6%
2019년 01월 08일(Tue),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,1374,26.7%
2019년 01월 08일(Tue),주먹왕 랄프 2: 인터넷 속으로,메가박스,1027,23.9%
2019년 01월 08일(Tue),주먹왕 랄프 2: 인터넷 속으로,씨네Q,57,24.5%
2019년 01월 08일(Tue),아쿠아맨,CGV,1546,22.1%
2019년 01월 08일(Tue),아쿠아맨,롯데시네마,1065,20.7%
2019년 01월 08일(Tue),아쿠아맨,메가박스,911,21.2%
2019년 01월 08일(Tue),아쿠아맨,씨네Q,50,21.5%
2019년 01월 08일(Tue),PMC: 더 벙커,CGV,799,11.4%
2019년 01월 08일(Tue),PMC: 더 벙커,롯데시네마,496,9.6%
2019년 01월 08일(Tue),PMC: 더 벙커,메가박스,504,11.7%
2019년 01월 08일(Tue),PMC: 더 벙커,씨네Q,35,15.0%
