rank_num,title,director,production_comp_name,importer_name,distributor_name,released_date,movie_type,movie_format,country,screen_num,total_sales,audience_num,seoul_total_sales,seoul_audience_num,genre,film_ratings,category
46,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04 00:00:00,개봉영화,장편,미국,2691,62648728870,5884587,18021250750,1610656,액션,12세이상관람가,일반영화
47,헌트,이정재,(주)아티스트스튜디오(주)사나이픽처스,,플러스엠 엔터테인먼트,2022-08-10 00:00:00,개봉영화,장편,한국,1625,44573032153,4350029,10985286495,1052205,액션,15세이상관람가,일반영화
48,올빼미,안태진,(주)씨제스스튜디오(주)영화사 담담,,(주)넥스트엔터테인먼트월드(NEW),2022-11-23 00:00:00,개봉영화,장편,한국,1541,32860420124,3329547,8943067323,885145,스릴러,15세이상관람가,일반영화
49,영웅,윤제균,(주)제이케이필름(주)씨제이이엔엠,,(주)씨제이이엔엠,2022-12-21 00:00:00,개봉영화,장편,한국,1314,32293415750,3273771,7387009217,734872,드라마,12세이상관람가,일반영화
50,토르: 러브 앤 썬더,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-07-06 00:00:00,개봉영화,장편,미국,2143,29494473721,2715682,8443171772,729804,액션,12세이상관람가,일반영화
51,쥬라기 월드: 도미니언,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-06-01 00:00:00,개봉영화,장편,미국,2218,29226463310,2836786,6938382730,639474,액션,12세이상관람가,일반영화
52,마녀(魔女) Part2. The Other One,박훈정,(주)영화사 금월(주)스튜디오앤뉴(주)페퍼민트앤컴퍼니,,(주)넥스트엔터테인먼트월드(NEW),2022-06-15 00:00:00,개봉영화,장편,한국,1796,28920265670,2806254,6020427150,570910,액션,15세이상관람가,일반영화
53,블랙 팬서: 와칸다 포에버,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-11-09 00:00:00,개봉영화,장편,미국,2571,22204965504,2105831,6358559927,567795,액션,12세이상관람가,일반영화
54,미니언즈2,카일 발다,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-07-20 00:00:00,개봉영화,장편,미국,1394,21999556172,2269024,4467034398,436111,애니메이션,전체관람가,일반영화
55,비상선언,한재림,(주)매그넘나인(주)씨제스스튜디오씨네주 유한회사,,(주)쇼박스,2022-08-03 00:00:00,개봉영화,장편,한국,1734,20778871412,2042999,4560827837,432547,드라마,12세이상관람가,일반영화
56,육사오(6/45),박규태,(주)티피에스컴퍼니(주)싸이더스,,(주)홈초이스(주)싸이더스,2022-08-24 00:00:00,개봉영화,장편,한국,1159,19791166880,1980769,3932407651,385835,코미디,12세이상관람가,일반영화
57,헤어질 결심,박찬욱,모호필름,,(주)씨제이이엔엠,2022-06-29 00:00:00,개봉영화,장편,한국,1374,19678744478,1897784,8025321064,763206,미스터리,15세이상관람가,일반영화
58,외계+인 1부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2022-07-20 00:00:00,개봉영화,장편,한국,1959,15987826548,1538504,3879858553,355262,액션,12세이상관람가,일반영화
